Institution,Cluster
Dokuz Eylul University,Emerging talents
Makerere University,Asian challengers
Kharazmi University,Developing expertise
UFG - Universidade Federal de Goiás,Emerging talents
Prince of Songkla University,Asian challengers
Universidad Austral de Chile,Emerging talents
University of Pecs,Emerging talents
University of Lethbridge,Emerging talents
Universidad Nacional de Educacion a Distancia,Asian challengers
De La Salle University,Asian challengers
Pusan National University,Asian challengers
Ankara University,Asian challengers
Universidade Federal da Bahia,Asian challengers
Thammasat University,Asian challengers
Universidade Estadual de Londrina,Emerging talents
Canterbury Christ Church University,Developing expertise
Chungnam National University,Emerging talents
"University of the Sunshine Coast, Australia",Core strengths
Ege University,Emerging talents
Universitas Padjadjaran,Asian challengers
Universidad del Norte,Emerging talents
Universitas Sebelas Maret,Emerging talents
Universidad Nacional de Cordoba,Asian challengers
Federal University of Viçosa,Emerging talents
University of Antioquia,Emerging talents
Mohammed V University of Rabat,Asian challengers
University of Sfax,Asian challengers
Khon Kaen University,Developing expertise
Kangwon National University,Emerging talents
University of Central Lancashire,Developing expertise
Obafemi Awolowo University (OAU),Emerging talents
University of Tunis El Manar,Asian challengers
Vietnam National University - Ho Chi Minh City (VNU-HCM),Asian challengers
Marmara University,Asian challengers
Kaunas University of Technology,Developing expertise
Universidade Federal de São Carlos,Asian challengers
Tamkang University,Developing expertise
Rowan University,Developing expertise
Chungbuk National University,Emerging talents
Beijing Jiaotong University,-
University of Calcutta,-
Chapman University,-